feature,importance
226828_s_at,0.06083044375685845
219463_at,0.0574285401626165
1569003_at,0.04353827549943918
1566690_at,0.03626251393124313
204241_at,0.03258335250777855
201506_at,0.027785070173674323
227792_at,0.02771409582178845
222795_s_at,0.02673744224100029
225311_at,0.025909904903654916
201308_s_at,0.02531877932337182
216426_at,0.024921915263425496
1561059_a_at,0.023169449131499292
229263_at,0.022499736192883524
223092_at,0.022074614126857586
203978_at,0.021679017386649135
220829_s_at,0.021669465668564057
207172_s_at,0.020885563367243048
228608_at,0.020877023489939497
204776_at,0.02016750833421052
215617_at,0.01966785057412464
202377_at,0.019470940057682358
1554640_at,0.01883540647253593
203088_at,0.018730211977826462
201307_at,0.018710461233980815
232122_s_at,0.018590424540821472
1562234_a_at,0.017670928561154126
203180_at,0.01746158199598902
200027_at,0.017399052399897613
209982_s_at,0.01660944029155797
227514_at,0.015474639481934086
210624_s_at,0.015467353077417478
218468_s_at,0.015057889677331718
201666_at,0.014325976556271392
223093_at,0.014182624455816044
226237_at,0.013818248110182136
219872_at,0.013656902581194124
221011_s_at,0.01268585738963332
226069_at,0.012675963239027354
226306_at,0.012365034109181982
229991_s_at,0.011886214238784934
204823_at,0.011850100673869093
226865_at,0.01178778727164928
207173_x_at,0.011458047651912467
228496_s_at,0.010931324533038285
201162_at,0.010516823483524469
227995_at,0.010179007347538545
218469_at,0.010058771527737516
224869_s_at,0.009928989569014944
201718_s_at,0.009432136519088195
236297_at,0.007061299117584572
